ID_CTE,CLASE,TIENE_ALT,TIENE_APOLO,TIENE_TDC,TIENE_SEGUROS,TIENE_BXI,TIENE_HIJOS,TIENE_AUTOS,TIENE_BIENES,TIENE_ESTUDIOS,TIENE_TELEFONO,TIENE_MAIL,FILENET,TDC_COMPRA,TXN_SUC,TXNS,ACTIVO,NH_N2,NH,TOTAL_ALT,TOTAL_APOLO,TOTAL_TDC,TOTAL_SEGUROS,SDO_CAPTACION,SDO_CORTE,MONTO_NOMINA,PORC_GASTADO,ANIO_ALTA_CTE,GENERACION_CTE,ESTADOCLAV,ESTADODES,FUENTEINGDES,INGRESOSMENDES,SEGMENTOMKTDES,SEXO,ESTADOCIV,REGIMENMAT,FECHA_INFORMACION,FAMILIA,TOTAL_PRODUCTOS,LEYENDA,BANCA,BANCO,NUMEROCIF,VISTA,BXI,EMAIL,HIJOSNUM,AUTOSNUM,BIENESNUM,TRATAMIENTO,NIVELESTDES,ESTATUSDES,TIPOTEL1,CODIGOPOS,ANIO_MES_ALTA_CTE,ANIO_NAC_CTE,ANIO_MES_NAC_CTE,CLUSTER,TOTAL,Municipio
1.08E+11,0,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,44,44,0,1.00E+21,2018,Generacion Y,26,SON,Sueldo,$ 15001 A $ 35000,PERSONAL MASIVO,F,S,S,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,56622879,1,0,0,0,1,0,ND,Licenciatura (Profesional),Activo,C,83146,2018-1,93,9312,9,1,Hermosillo
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,325,1334,6832,412.29,2018,Generacion Y,6,COAH,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,56018577,1,0,0,0,0,0,ND,Otros,Prospecto,D,25016,2018-0,82,8203,9,1,Saltillo
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.00E+21,2019,Generacion Y,24,SLP,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,C,S,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,58347880,1,0,0,0,0,0,ND,Otros,Prospecto,C,78000,2019-0,91,9112,9,1,San Luis Potosi
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,5,5,0,1.00E+21,2019,Generacion Y,30,VER,Sueldo,MENOS DE $2000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,58851271,1,0,0,0,0,0,ND,Otros,Prospecto,D,95100,2019-0,95,9508,9,1,Tierra Blanca
1.06E+11,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,231,79,7712,9720.66,2016,Generacion Y,6,COAH,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,S,M,10/31/2019,1,1,CON GASTO,Comercial,BANORTE,46266619,1,1,24,0,0,0,ND,Secundaria,Activo,C,26230,2016-0,95,9502,2,1,Acuna
1.05E+11,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,1.00E+21,2015,Generacion Y,15,MEX,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,43536454,0,1,19,0,0,0,ING,Carrera Tecnica,Prospecto,C,54858,2015-0,82,8210,10,1,Cuautitlan
1.06E+11,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,1.00E+21,2015,Generacion Y,14,JAL,Sueldo,$ 10001 A $ 15000,PERSONAL MASIVO,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,43645767,1,1,21,0,1,1,LIC,Licencioatura (Profesional),Activo,C,44820,2015-0,82,8212,1,1,Guadalajara
1.05E+11,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1706,79,22370,28123.97,2015,Generacion Y,28,TAMPS,Sueldo,$ 15001 A $ 35000,PERSONAL BASICO TRANSICION,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,41650452,1,1,30,0,0,0,ND,Otros,Prospecto,C,89512,2015-0,91,9106,2,1,Ciudad Madero
1.06E+11,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,3593,3593,0,1.00E+21,2016,Generacion Y,26,SON,Sueldo,$  7501 A $10000,PERSONAL BASICO TRANSICION,M,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,48768653,1,1,20,0,1,1,ND,Preparatoria,Activo,C,85440,2016-1,84,8402,1,1,Guaymas
1.08E+11,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,319,602,7877,1207.53,2019,Generacion Y,19,NL,Sueldo,MENOS DE $2000,PERSONAL MASIVO,F,C,M,10/31/2019,2,1,CON GASTO,Comercial,BANORTE,58425751,1,0,24,0,0,0,ND,Otros,Prospecto,C,67190,2019-0,93,9312,9,1,Guadalupe
